Wed Jan 23 23:59:44 +0000 2019,"b""RT @KamalaHarris: It's completely irresponsible that this president has kept the government closed for over a month. That\xe2\x80\x99s 33 days of anxi\xe2\x80\xa6""",,,A
Wed Jan 23 23:59:44 +0000 2019,b'RT @nnedv: \xe2\x80\x9cWe really need solid funding so that we can all go back to doing lifesaving work.\xe2\x80\x9d -@CindySouthworth \n\nMore: https://t.co/4ooaV\xe2\x80\xa6',,,I
Wed Jan 23 23:59:44 +0000 2019,b'RT @TravisAllen02: BREAKING: Nancy Pelosi says the State of the Union is CANCELLED until Trump ends the government shutdown.\n\nRetweet and l\xe2\x80\xa6',,,I
Wed Jan 23 23:59:44 +0000 2019,b'RT @scalzi: Your reminder that the GOP is using the shutdown to achieve the shrinkage of government and government oversight that it would\xe2\x80\xa6',,,A
Wed Jan 23 23:59:43 +0000 2019,b'@1Kimsey The point I was trying to make was that the lawmakers probably shouldn\xe2\x80\x99t get paid while the government is\xe2\x80\xa6 https://t.co/bQiygH5iMN',,,I
Wed Jan 23 23:59:43 +0000 2019,"b'RT @SaysHummingbird: McConnell calls votes to get workers their pay ""absolutely pointless"" as he continues to block the reopening of govern\xe2\x80\xa6'",,,I
Wed Jan 23 23:59:43 +0000 2019,b'RT @BarbraStreisand: Republicans had total control of the government for two years and didn\xe2\x80\x99t  authorize money for the wall. This Trump Shu\xe2\x80\xa6',,,A
Wed Jan 23 23:59:43 +0000 2019,"b'RT @jaketapper: Photos of special challenge coins being distributed among Secret Service personnel and their families, expressing frustrati\xe2\x80\xa6'",,,
Wed Jan 23 23:59:43 +0000 2019,b'RT @TravisAllen02: BREAKING: Nancy Pelosi says the State of the Union is CANCELLED until Trump ends the government shutdown.\n\nRetweet and l\xe2\x80\xa6',,,A
Wed Jan 23 23:59:43 +0000 2019,"b'President Donald  Trump at the White House said the cancellation was a ""disgrace."" #9News\nhttps://t.co/kXRdhPABu7'",,,
Wed Jan 23 23:59:43 +0000 2019,b'RT @Conserv68373369: Americans that have been killed by illegal aliens since the government shutdown: (30 days)\n\nRonil Singh\n\nJerry David\xe2\x80\xa6',,,
Wed Jan 23 23:59:43 +0000 2019,b'RT @TravisAllen02: BREAKING: Nancy Pelosi says the State of the Union is CANCELLED until Trump ends the government shutdown.\n\nRetweet and l\xe2\x80\xa6',,,A
Wed Jan 23 23:59:42 +0000 2019,"b""RT @RBReich: Let's be very clear: Mitch McConnell and Republicans have essentially sacrificed the U.S. Senate to serve Trump during the shu\xe2\x80\xa6""",,,I
Wed Jan 23 23:59:42 +0000 2019,b'RT @TravisAllen02: BREAKING: Nancy Pelosi says the State of the Union is CANCELLED until Trump ends the government shutdown.\n\nRetweet and l\xe2\x80\xa6',,,A
Wed Jan 23 23:59:42 +0000 2019,b'VanEck/CBoE Bitcoin ETF submission withdrawn - a victim of the government shutdown. Such news would have produced v\xe2\x80\xa6 https://t.co/LqVFMIcO0f',,,
Wed Jan 23 23:59:42 +0000 2019,"b""RT @HillaryClinton: The government shutdown is by far the longest in U.S. history. It's put hundreds of thousands of people under financial\xe2\x80\xa6""",,,I
Wed Jan 23 23:59:41 +0000 2019,"b'RT @StormResist: Trump might get away with pushing foreign leaders around, but #MadamSpeaker is having none of it. \n\nHe CANNOT come to Cong\xe2\x80\xa6'",,,A
Wed Jan 23 23:59:41 +0000 2019,"b""RT @RBReich: Let's be very clear: Mitch McConnell and Republicans have essentially sacrificed the U.S. Senate to serve Trump during the shu\xe2\x80\xa6""",,,I
Wed Jan 23 23:59:41 +0000 2019,b'RT @Justsaytruthnow: @davidcicilline @PressSec @realDonaldTrump Could you point out in Article 2 Section 3 of the U.S. Constitution or\nanyw\xe2\x80\xa6',,,
Wed Jan 23 23:59:41 +0000 2019,"b'RT @RepAdamSchiff: The shutdown\xe2\x80\x99s impact on federal workers is bad enough, but the FBI is also losing counter-terrorism sources and is unab\xe2\x80\xa6'",,,
